Name,Sweep (T1),,,Name,Sweep (T1),,,Name,Sweep (T1),,,
573519458.544839,-20.292896270752,,,573519458.544839,-20.3480453491211,,,573519458.544839,-20.3583278656006,,,
575972927.241963,-20.2754859924316,,,575972927.241963,-20.3118190765381,,,575972927.241963,-20.3571739196777,,,
578426395.939086,-20.25807762146,,,578426395.939086,-20.2755947113037,,,578426395.939086,-20.3560199737549,,,
580879864.63621,-20.2477169036865,,,580879864.63621,-20.2578182220459,,,580879864.63621,-20.348611831665,,,
583333333.333333,-20.2375736236572,,,583333333.333333,-20.2406139373779,,,583333333.333333,-20.3410091400146,,,
585786802.030457,-20.2274322509766,,,585786802.030457,-20.2234077453613,,,585786802.030457,-20.3334083557129,,,
588240270.72758,-20.2172889709473,,,588240270.72758,-20.2062034606934,,,588240270.72758,-20.3258056640625,,,
590693739.424704,-20.2071475982666,,,590693739.424704,-20.1889972686768,,,590693739.424704,-20.3182029724121,,,
593147208.121827,-20.1965293884277,,,593147208.121827,-20.171838760376,,,593147208.121827,-20.309700012207,,,
595600676.818951,-20.1784858703613,,,595600676.818951,-20.1554126739502,,,595600676.818951,-20.2870655059814,,,
598054145.516074,-20.1604404449463,,,598054145.516074,-20.1389865875244,,,598054145.516074,-20.2644309997559,,,
600507614.213198,-20.1423950195313,,,600507614.213198,-20.1225605010986,,,600507614.213198,-20.2417964935303,,,
602961082.910321,-20.1243495941162,,,602961082.910321,-20.1061344146729,,,602961082.910321,-20.2191638946533,,,
605414551.607445,-20.1063060760498,,,605414551.607445,-20.0897083282471,,,605414551.607445,-20.1965293884277,,,
607868020.304569,-20.0942306518555,,,607868020.304569,-20.080394744873,,,607868020.304569,-20.1761474609375,,,
610321489.001692,-20.1159858703613,,,610321489.001692,-20.1113777160645,,,610321489.001692,-20.1685371398926,,,
612774957.698816,-20.1377391815186,,,612774957.698816,-20.1423606872559,,,612774957.698816,-20.160924911499,,,
615228426.395939,-20.1594944000244,,,615228426.395939,-20.1733455657959,,,615228426.395939,-20.1533126831055,,,
617681895.093063,-20.1812496185303,,,617681895.093063,-20.2043285369873,,,617681895.093063,-20.1457004547119,,,
620135363.790186,-20.2030048370361,,,620135363.790186,-20.2353115081787,,,620135363.790186,-20.1380882263184,,,
